id,x,y,minlon,maxlon,minla,maxla,landuse
206.0,18.0,173.0,-9.4569,-9.4547,38.727,38.7288,1.0
208.0,18.0,177.0,-9.4569,-9.4547,38.7342,38.736,1.0
209.0,18.0,184.0,-9.4569,-9.4547,38.7468,38.7485,1.0
210.0,18.0,186.0,-9.4569,-9.4547,38.7504,38.7521,2.0
216.0,18.0,214.0,-9.4569,-9.4547,38.8008,38.8026,3.0
219.0,18.0,220.0,-9.4569,-9.4547,38.8116,38.8133,2.0
225.0,18.0,239.0,-9.4569,-9.4547,38.8458,38.8476,2.0
226.0,18.0,241.0,-9.4569,-9.4547,38.8494,38.8512,3.0
227.0,19.0,155.0,-9.4546,-9.4524,38.6946,38.6963,2.0
233.0,19.0,162.0,-9.4546,-9.4524,38.7072,38.7089,2.0
236.0,19.0,167.0,-9.4546,-9.4524,38.7162,38.7179,1.0
238.0,19.0,173.0,-9.4546,-9.4524,38.727,38.7288,3.0
241.0,19.0,177.0,-9.4546,-9.4524,38.7342,38.736,1.0
246.0,19.0,187.0,-9.4546,-9.4524,38.7522,38.754,2.0
248.0,19.0,208.0,-9.4546,-9.4524,38.79,38.7917,2.0
253.0,19.0,222.0,-9.4546,-9.4524,38.8152,38.817,2.0
259.0,20.0,160.0,-9.4523,-9.4501,38.7036,38.7054,1.0
265.0,20.0,173.0,-9.4523,-9.4501,38.727,38.7288,2.0
267.0,20.0,180.0,-9.4523,-9.4501,38.7396,38.7414,2.0
269.0,20.0,187.0,-9.4523,-9.4501,38.7522,38.754,2.0
270.0,20.0,208.0,-9.4523,-9.4501,38.79,38.7917,2.0
271.0,20.0,209.0,-9.4523,-9.4501,38.7918,38.7936,2.0
273.0,20.0,216.0,-9.4523,-9.4501,38.8044,38.8061,2.0
274.0,20.0,219.0,-9.4523,-9.4501,38.8098,38.8116,2.0
275.0,20.0,220.0,-9.4523,-9.4501,38.8116,38.8133,2.0
283.0,21.0,156.0,-9.45,-9.4478,38.6964,38.6982,2.0
284.0,21.0,157.0,-9.45,-9.4478,38.6982,38.6999,2.0
286.0,21.0,162.0,-9.45,-9.4478,38.7072,38.7089,2.0
288.0,21.0,165.0,-9.45,-9.4478,38.7126,38.7144,2.0
289.0,21.0,166.0,-9.45,-9.4478,38.7144,38.7162,2.0
293.0,21.0,172.0,-9.45,-9.4478,38.7252,38.7269,1.0
294.0,21.0,173.0,-9.45,-9.4478,38.727,38.7288,1.0
295.0,21.0,174.0,-9.45,-9.4478,38.7288,38.7305,1.0
297.0,21.0,177.0,-9.45,-9.4478,38.7342,38.736,3.0
299.0,21.0,184.0,-9.45,-9.4478,38.7468,38.7485,2.0
300.0,21.0,186.0,-9.45,-9.4478,38.7504,38.7521,2.0
301.0,21.0,187.0,-9.45,-9.4478,38.7522,38.754,1.0
305.0,21.0,214.0,-9.45,-9.4478,38.8008,38.8026,2.0
306.0,21.0,215.0,-9.45,-9.4478,38.8026,38.8044,2.0
307.0,21.0,216.0,-9.45,-9.4478,38.8044,38.8061,3.0
308.0,21.0,217.0,-9.45,-9.4478,38.8062,38.808,1.0
318.0,21.0,237.0,-9.45,-9.4478,38.8422,38.844,2.0
321.0,21.0,249.0,-9.45,-9.4478,38.8638,38.8656,3.0
322.0,22.0,155.0,-9.4477,-9.4455,38.6946,38.6963,2.0
323.0,22.0,156.0,-9.4477,-9.4455,38.6964,38.6982,1.0
326.0,22.0,159.0,-9.4477,-9.4455,38.7018,38.7035,2.0
327.0,22.0,161.0,-9.4477,-9.4455,38.7054,38.7072,1.0
328.0,22.0,162.0,-9.4477,-9.4455,38.7072,38.7089,1.0
329.0,22.0,163.0,-9.4477,-9.4455,38.709,38.7108,1.0
330.0,22.0,164.0,-9.4477,-9.4455,38.7108,38.7125,1.0
331.0,22.0,165.0,-9.4477,-9.4455,38.7126,38.7144,2.0
332.0,22.0,166.0,-9.4477,-9.4455,38.7144,38.7162,1.0
337.0,22.0,174.0,-9.4477,-9.4455,38.7288,38.7305,1.0
339.0,22.0,187.0,-9.4477,-9.4455,38.7522,38.754,1.0
343.0,22.0,212.0,-9.4477,-9.4455,38.7972,38.799,2.0
344.0,22.0,213.0,-9.4477,-9.4455,38.799,38.8007,2.0
348.0,22.0,220.0,-9.4477,-9.4455,38.8116,38.8133,2.0
356.0,23.0,156.0,-9.4454,-9.4432,38.6964,38.6982,1.0
357.0,23.0,157.0,-9.4454,-9.4432,38.6982,38.6999,1.0
359.0,23.0,161.0,-9.4454,-9.4432,38.7054,38.7072,1.0
360.0,23.0,163.0,-9.4454,-9.4432,38.709,38.7108,2.0
363.0,23.0,166.0,-9.4454,-9.4432,38.7144,38.7162,2.0
367.0,23.0,171.0,-9.4454,-9.4432,38.7234,38.7252,4.0
368.0,23.0,172.0,-9.4454,-9.4432,38.7252,38.7269,1.0
370.0,23.0,174.0,-9.4454,-9.4432,38.7288,38.7305,1.0
371.0,23.0,186.0,-9.4454,-9.4432,38.7504,38.7521,2.0
372.0,23.0,187.0,-9.4454,-9.4432,38.7522,38.754,2.0
376.0,23.0,213.0,-9.4454,-9.4432,38.799,38.8007,2.0
378.0,23.0,216.0,-9.4454,-9.4432,38.8044,38.8061,2.0
379.0,23.0,217.0,-9.4454,-9.4432,38.8062,38.808,2.0
392.0,23.0,241.0,-9.4454,-9.4432,38.8494,38.8512,2.0
393.0,24.0,157.0,-9.4431,-9.4409,38.6982,38.6999,1.0
394.0,24.0,158.0,-9.4431,-9.4409,38.7,38.7018,4.0
395.0,24.0,159.0,-9.4431,-9.4409,38.7018,38.7035,3.0
396.0,24.0,160.0,-9.4431,-9.4409,38.7036,38.7054,1.0
397.0,24.0,161.0,-9.4431,-9.4409,38.7054,38.7072,1.0
398.0,24.0,162.0,-9.4431,-9.4409,38.7072,38.7089,1.0
400.0,24.0,166.0,-9.4431,-9.4409,38.7144,38.7162,2.0
401.0,24.0,167.0,-9.4431,-9.4409,38.7162,38.7179,2.0
402.0,24.0,168.0,-9.4431,-9.4409,38.718,38.7198,2.0
403.0,24.0,170.0,-9.4431,-9.4409,38.7216,38.7234,2.0
404.0,24.0,171.0,-9.4431,-9.4409,38.7234,38.7252,3.0
405.0,24.0,172.0,-9.4431,-9.4409,38.7252,38.7269,3.0
409.0,24.0,186.0,-9.4431,-9.4409,38.7504,38.7521,1.0
410.0,24.0,187.0,-9.4431,-9.4409,38.7522,38.754,1.0
411.0,24.0,188.0,-9.4431,-9.4409,38.754,38.7558,2.0
417.0,24.0,218.0,-9.4431,-9.4409,38.808,38.8097,1.0
418.0,24.0,219.0,-9.4431,-9.4409,38.8098,38.8116,1.0
