id,x,y,minlon,maxlon,minla,maxla,landuse
103.0,12.0,150.0,4.542,4.545,52.3774,52.3791,1.0
105.0,12.0,164.0,4.542,4.545,52.4026,52.4043,3.0
108.0,13.0,45.0,4.545,4.548,52.1884,52.1901,4.0
110.0,13.0,80.0,4.545,4.548,52.2513,52.2531,1.0
111.0,13.0,92.0,4.545,4.548,52.2729,52.2747,3.0
114.0,13.0,150.0,4.545,4.548,52.3774,52.3791,3.0
115.0,13.0,163.0,4.545,4.548,52.4007,52.4025,4.0
117.0,14.0,67.0,4.548,4.551,52.228,52.2297,3.0
120.0,14.0,74.0,4.548,4.551,52.2406,52.2423,3.0
121.0,14.0,78.0,4.548,4.551,52.2477,52.2495,3.0
123.0,14.0,81.0,4.548,4.551,52.2532,52.2549,1.0
124.0,14.0,82.0,4.548,4.551,52.2549,52.2567,3.0
125.0,14.0,83.0,4.548,4.551,52.2567,52.2585,2.0
126.0,14.0,84.0,4.548,4.551,52.2586,52.2603,2.0
127.0,14.0,85.0,4.548,4.551,52.2603,52.2621,1.0
128.0,14.0,89.0,4.548,4.551,52.2676,52.2693,3.0
131.0,14.0,150.0,4.548,4.551,52.3774,52.3791,1.0
132.0,14.0,151.0,4.548,4.551,52.3791,52.3809,1.0
133.0,14.0,166.0,4.548,4.551,52.4061,52.4079,4.0
134.0,15.0,41.0,4.551,4.553999999999999,52.1811,52.1829,3.0
136.0,15.0,68.0,4.551,4.553999999999999,52.2297,52.2315,3.0
137.0,15.0,69.0,4.551,4.553999999999999,52.2316,52.2333,3.0
139.0,15.0,74.0,4.551,4.553999999999999,52.2406,52.2423,2.0
142.0,15.0,77.0,4.551,4.553999999999999,52.2459,52.2477,1.0
144.0,15.0,82.0,4.551,4.553999999999999,52.2549,52.2567,2.0
145.0,15.0,83.0,4.551,4.553999999999999,52.2567,52.2585,1.0
146.0,15.0,84.0,4.551,4.553999999999999,52.2586,52.2603,1.0
147.0,15.0,85.0,4.551,4.553999999999999,52.2603,52.2621,1.0
148.0,15.0,86.0,4.551,4.553999999999999,52.2622,52.2639,1.0
149.0,15.0,87.0,4.551,4.553999999999999,52.2639,52.2657,2.0
153.0,15.0,142.0,4.551,4.553999999999999,52.363,52.3647,3.0
154.0,15.0,143.0,4.551,4.553999999999999,52.3647,52.3665,2.0
155.0,15.0,149.0,4.551,4.553999999999999,52.3755,52.3773,3.0
156.0,15.0,150.0,4.551,4.553999999999999,52.3774,52.3791,1.0
157.0,15.0,151.0,4.551,4.553999999999999,52.3791,52.3809,1.0
158.0,15.0,153.0,4.551,4.553999999999999,52.3827,52.3845,4.0
164.0,16.0,51.0,4.553999999999999,4.5569999999999995,52.1991,52.2009,3.0
165.0,16.0,58.0,4.553999999999999,4.5569999999999995,52.2117,52.2135,3.0
166.0,16.0,59.0,4.553999999999999,4.5569999999999995,52.2136,52.2153,1.0
170.0,16.0,72.0,4.553999999999999,4.5569999999999995,52.236999999999995,52.2387,1.0
171.0,16.0,73.0,4.553999999999999,4.5569999999999995,52.2387,52.2405,3.0
172.0,16.0,74.0,4.553999999999999,4.5569999999999995,52.2406,52.2423,1.0
174.0,16.0,76.0,4.553999999999999,4.5569999999999995,52.2442,52.2459,1.0
175.0,16.0,79.0,4.553999999999999,4.5569999999999995,52.2496,52.2513,1.0
176.0,16.0,80.0,4.553999999999999,4.5569999999999995,52.2513,52.2531,1.0
177.0,16.0,81.0,4.553999999999999,4.5569999999999995,52.2532,52.2549,2.0
179.0,16.0,83.0,4.553999999999999,4.5569999999999995,52.2567,52.2585,3.0
180.0,16.0,84.0,4.553999999999999,4.5569999999999995,52.2586,52.2603,1.0
181.0,16.0,85.0,4.553999999999999,4.5569999999999995,52.2603,52.2621,1.0
182.0,16.0,86.0,4.553999999999999,4.5569999999999995,52.2622,52.2639,1.0
183.0,16.0,87.0,4.553999999999999,4.5569999999999995,52.2639,52.2657,1.0
184.0,16.0,88.0,4.553999999999999,4.5569999999999995,52.2657,52.2675,1.0
185.0,16.0,89.0,4.553999999999999,4.5569999999999995,52.2676,52.2693,3.0
186.0,16.0,97.0,4.553999999999999,4.5569999999999995,52.2819,52.2837,3.0
188.0,16.0,105.0,4.553999999999999,4.5569999999999995,52.2963,52.2981,3.0
